table_name,column_name,confidence,description
agg_ab_readout,iap_purchases_today,high,Number of in-app purchase transactions recorded for the variant group on the reporting date.
agg_ab_readout,payers_today,high,Number of distinct users making an in-app purchase on the reporting date.
agg_ab_readout,first_time_payers_today,high,Number of users making their first recorded in-app purchase on the reporting date.
agg_ab_readout,ad_revenue_usd_today,high,"Daily advertising revenue generated by the variant group, normalized to U.S. dollars."
agg_ab_readout,ad_impressions_today,high,Number of monetized ad impressions delivered to the variant group on the reporting date.
agg_ab_readout,total_revenue_usd_today,high,Combined daily IAP and advertising revenue generated by the variant group in U.S. dollars.
agg_ab_readout,iap_revenue_usd_cumulative,high,Cumulative in-app purchase revenue generated by the variant group through the reporting date in U.S. dollars.
agg_ab_readout,ad_revenue_usd_cumulative,high,Cumulative advertising revenue generated by the variant group through the reporting date in U.S. dollars.
agg_ab_readout,total_revenue_usd_cumulative,high,Cumulative combined IAP and advertising revenue generated by the variant group in U.S. dollars.
agg_ab_readout,revenue_per_exposed_user_cumulative,high,Cumulative total revenue divided by the number of users exposed to the variant.
agg_ab_readout,unique_payers_cumulative,high,Cumulative number of distinct users who have completed an in-app purchase in the variant group.
agg_ab_readout,arppu_cumulative,high,Cumulative average revenue per paying user for the variant group.
agg_ab_readout,arppu_lift_pct_vs_control,high,Percentage change in cumulative average revenue per paying user relative to the control variant.
agg_ab_readout,revenue_per_exposed_user_vs_control,medium,Cumulative revenue per exposed user for the variant relative to the corresponding control value.
agg_ab_readout,revenue_lift_pct_vs_control,high,Percentage change in cumulative revenue performance relative to the control variant.
agg_ab_readout,retention_d1_pct,high,Percentage of exposed users returning one day after initial exposure or cohort entry.
agg_ab_readout,retention_d7_pct,high,Percentage of exposed users returning seven days after initial exposure or cohort entry.
agg_ab_readout,retention_d30_pct,high,Percentage of exposed users returning 30 days after initial exposure or cohort entry.
agg_ab_readout,retention_d1_lift_vs_control,high,Difference in one-day retention between the variant and control groups.
agg_ab_readout,retention_d7_lift_vs_control,high,Difference in seven-day retention between the variant and control groups.
agg_ab_readout,retention_d30_lift_vs_control,high,Difference in 30-day retention between the variant and control groups.
agg_ab_readout,iap_conversion_pct_today,high,Percentage of exposed users who completed an in-app purchase on the reporting date.
agg_ab_readout,iap_conversion_lift_vs_control,high,Change in daily IAP conversion rate relative to the control variant.
agg_ab_readout,crash_rate_today,medium,Rate of gameplay or application sessions experiencing a crash on the reporting date.
agg_ab_readout,crash_rate_lift_pct_vs_control,high,Percentage change in crash rate relative to the control variant.
agg_ab_readout,retention_d1_lift_p_value,high,P-value testing whether the variant's one-day retention differs from the control.
agg_ab_readout,retention_d1_lift_significant,high,Indicates whether the one-day retention difference versus control meets the configured significance threshold.
agg_ab_readout,retention_d7_lift_p_value,high,P-value testing whether the variant's seven-day retention differs from the control.
agg_ab_readout,retention_d7_lift_significant,high,Indicates whether the seven-day retention difference versus control meets the configured significance threshold.
agg_ab_readout,iap_conversion_lift_p_value,high,P-value testing whether daily IAP conversion differs between the variant and control.
agg_ab_readout,iap_conversion_lift_significant,high,Indicates whether the IAP conversion difference versus control is statistically significant.
agg_ab_readout,revenue_lift_p_value,high,P-value testing whether revenue performance differs between the variant and control.
agg_ab_readout,revenue_lift_significant,high,Indicates whether the revenue difference versus control is statistically significant.
agg_ab_readout,revenue_lift_ci_lower,high,Lower bound of the confidence interval for revenue lift versus control.
agg_ab_readout,revenue_lift_ci_upper,high,Upper bound of the confidence interval for revenue lift versus control.
agg_ab_readout,avg_session_length,medium,"Average duration of gameplay sessions for the variant group, typically measured in seconds or minutes according to warehouse convention."
agg_ab_readout,avg_session_length_lift_vs_control,high,Change in average gameplay session duration relative to the control variant.
agg_ab_readout,tutorial_completion_rate,high,Percentage of relevant users completing the game's tutorial or onboarding flow.
agg_ab_readout,tutorial_completion_rate_lift_vs_control,high,Change in tutorial completion rate relative to the control variant.
agg_ab_readout,updated_date,high,Timestamp indicating when the aggregate readout was most recently refreshed.
agg_ab_readout,guardrails_all_green,high,Indicates whether all configured experiment guardrail metrics remain within acceptable limits.
agg_ab_readout,decision,medium,"Recommended or recorded experiment action, such as ship, iterate, or stop."
agg_ab_readout,peeking_signal,low,Indicator identifying potential repeated interim result inspection or an associated sequential-testing concern.
agg_ab_readout_by_segment,event_date,high,Calendar date on which the segmented experiment metric was measured.
agg_ab_readout_by_segment,experiment_id,high,Unique identifier for the A/B experiment being analyzed.
agg_ab_readout_by_segment,variant_id,high,Identifier for the experiment variant associated with the segmented result.
agg_ab_readout_by_segment,dimension,high,"Segmentation dimension used to partition the experiment result, such as country, platform, or player cohort."
agg_ab_readout_by_segment,segment_value,high,Specific value of the segmentation dimension represented by the row.
agg_ab_readout_by_segment,metric_id,high,Canonical identifier for the experiment metric being evaluated.
agg_ab_readout_by_segment,n,high,Number of observations or eligible users contributing to the segmented metric estimate.
agg_ab_readout_by_segment,metric_value,high,Measured value of the selected metric for the variant and segment.
agg_ab_readout_by_segment,is_control,high,Indicates whether the row represents the experiment control variant.
agg_ab_readout_by_segment,lift_vs_control,high,Absolute difference between the segmented variant metric and the control metric.
agg_ab_readout_by_segment,lift_pct_vs_control,high,Percentage change in the segmented metric relative to control.
agg_ab_readout_by_segment,ci_low,high,Lower bound of the confidence interval for the segmented metric or lift estimate.
agg_ab_readout_by_segment,ci_high,high,Upper bound of the confidence interval for the segmented metric or lift estimate.
agg_ab_readout_by_segment,p_value,high,Statistical test p-value for the difference between the variant and control within the segment.
agg_ab_readout_by_segment,significant,high,Indicates whether the segmented variant-versus-control result meets the configured significance threshold.
agg_ab_readout_by_segment,is_low_sample,high,Indicates that the segment has insufficient observations for reliable statistical interpretation.
agg_ab_readout_by_segment,updated_date,high,Timestamp indicating when the segmented readout was most recently refreshed.
agg_metrics_periodic,period_grain,high,"Time aggregation level for the metric, such as daily, weekly, or monthly."
agg_metrics_periodic,period_start,high,Inclusive start date of the period summarized by the metric record.
agg_metrics_periodic,period_end,high,Inclusive end date of the period summarized by the metric record.
agg_metrics_periodic,metric_id,high,Canonical identifier for the aggregated business or gameplay metric.
agg_metrics_periodic,country,high,Country dimension used to scope the metric aggregation.
agg_metrics_periodic,platform,high,Device or operating-system platform used to scope the metric aggregation.
agg_metrics_periodic,segment_id,high,Identifier for the player or business segment used in the aggregation.
agg_metrics_periodic,value,high,Computed metric result for the specified period and dimensional scope.
agg_metrics_periodic,numerator,high,Numerical numerator supporting the metric calculation.
agg_metrics_periodic,denominator,high,Population or quantity serving as the denominator for the metric calculation.
agg_metrics_periodic,hll_sketch,high,Serialized HyperLogLog structure used for approximate distinct-count calculations.
agg_metrics_periodic,sample_size,high,"Number of records, users, or observations contributing to the aggregate metric."
agg_metrics_periodic,source_table,high,Name of the warehouse table from which the metric was derived.
agg_metrics_periodic,org_id,high,Identifier for the organization or tenant owning the metric data.
agg_metrics_periodic,game_id,high,Identifier for the game to which the metric applies.
agg_metrics_periodic,game_client_id,medium,"Identifier for the game client, application configuration, or client deployment associated with the metric."
agg_metrics_periodic,created_at,high,Timestamp when the aggregate metric record was created.
agg_metrics_periodic,updated_at,high,Timestamp when the aggregate metric record was last modified or refreshed.
alert_rules,rule_id,high,Unique identifier for the monitoring or metric alert rule.
alert_rules,rule_name,high,Human-readable name describing the alert rule's purpose.
alert_rules,metric_id,high,Identifier for the metric monitored by the alert rule.
alert_rules,benchmark_id,high,Identifier for the benchmark or target definition used by the alert rule.
alert_rules,threshold_mode,medium,"Method used to interpret alert thresholds, such as absolute values, percentages, or benchmark-relative bands."
alert_rules,direction,high,"Expected direction of concern, such as metric below target, above target, or either direction."
alert_rules,warn_pct,high,Percentage deviation from the benchmark that triggers a warning condition.
alert_rules,crit_pct,high,Percentage deviation from the benchmark that triggers a critical alert condition.
alert_rules,band_warn_low,high,Lower metric boundary for the warning range.
alert_rules,band_warn_high,high,Upper metric boundary for the warning range.
alert_rules,breach_logic,medium,Rule logic defining how threshold or benchmark breaches are evaluated.
alert_rules,status,high,"Operational state of the alert rule, such as active, paused, or retired."
alert_rules,is_core,medium,Indicates whether the rule monitors a core metric or business-critical guardrail.
alert_rules,org_id,high,Identifier for the organization or tenant that owns the rule.
alert_rules,game_id,high,Identifier for the game monitored by the rule.
alert_rules,game_client_id,medium,Identifier for the game client or deployment to which the rule applies.
alert_rules,created_at,high,Timestamp when the alert rule was created.
alert_rules,updated_at,high,Timestamp when the alert rule was last updated.
benchmark_targets,benchmark_id,high,Unique identifier for the benchmark target definition.
benchmark_targets,metric_id,high,Identifier for the metric represented by the benchmark.
benchmark_targets,metric_name,high,Human-readable name of the benchmarked metric.
benchmark_targets,segment_id,high,Identifier for the player or business segment to which the benchmark applies.
benchmark_targets,period_grain,high,"Time aggregation level for the benchmark target, such as daily, weekly, or monthly."
benchmark_targets,target_value,high,Reference performance value used as the target for the metric and segment.
benchmark_targets,direction,high,Indicates whether higher or lower metric values represent better performance.
benchmark_targets,band_lo,high,Lower boundary of the acceptable or comparison band around the benchmark.
benchmark_targets,band_hi,high,Upper boundary of the acceptable or comparison band around the benchmark.
benchmark_targets,benchmark_type,high,"Classification of the benchmark, such as internal target, historical baseline, or industry reference."
benchmark_targets,baseline_source,high,Source or methodology used to establish the benchmark baseline.
benchmark_targets,genre_benchmark_value,high,Reference value for comparable games within the same genre.
benchmark_targets,benchmark_note,high,"Additional business context, assumptions, or interpretation guidance for the benchmark."
benchmark_targets,is_core,medium,Indicates whether the benchmark applies to a core business metric or guardrail.
benchmark_targets,org_id,high,Identifier for the organization or tenant that owns the benchmark.
benchmark_targets,game_id,high,Identifier for the game to which the benchmark applies.
benchmark_targets,game_client_id,medium,Identifier for the game client or deployment covered by the benchmark.
benchmark_targets,created_at,high,Timestamp when the benchmark definition was created.
benchmark_targets,updated_at,high,Timestamp when the benchmark definition was last updated.
dbt_events_raw,event_id,high,"Unique identifier for the raw gameplay, monetization, or operational event."
dbt_events_raw,event_name,high,Canonical name identifying the event action or occurrence.
dbt_events_raw,event_category,high,"High-level classification of the event, such as session, revenue, ad, or progression."
dbt_events_raw,event_subcategory,high,More granular classification of the event within its category.
dbt_events_raw,event_version,high,Schema or semantic version of the event definition emitted by the client.
dbt_events_raw,event_timestamp_client,high,Client-reported event time preserved as a string from the source payload.
dbt_events_raw,event_timestamp,high,Event occurrence timestamp preserved as a string from the ingested source record.
dbt_events_raw,ingestion_timestamp,high,"Timestamp at which the event was received or loaded into the analytics platform, preserved as a string."
dbt_events_raw,event_date,high,Calendar date assigned to the event for partitioning and date-based analysis.
dbt_events_raw,event_source,high,Originating system or channel that produced the event.
dbt_events_raw,game_id,high,Identifier for the game generating the event.
dbt_events_raw,game_client_id,medium,"Identifier for the game client, application build, or client configuration that emitted the event."
dbt_events_raw,game_genre,high,"Game genre associated with the event source, used for classification and comparative analysis."
dbt_events_raw,environment,high,"Execution environment in which the event was generated, such as production, staging, or development."
dbt_events_raw,release_id,high,Identifier for the software release associated with the event.
dbt_events_raw,app_version,high,Application version installed when the event was generated.
dbt_events_raw,user_id,high,Game-specific identifier for the player associated with the event.
dbt_events_raw,global_user_id,high,Cross-game or cross-client identity key used to associate activity with a broader player profile.
dbt_events_raw,is_guest,high,Indicates whether the event was generated by a user without a registered or authenticated account.
dbt_events_raw,auth,medium,Authentication state or authentication metadata associated with the player event.
dbt_events_raw,ad_ids,high,Serialized advertising identifiers associated with the device or event context.
dbt_events_raw,device,high,"Serialized device attributes, such as model, operating system, and hardware characteristics."
dbt_events_raw,geo,high,Serialized geographic and locale telemetry associated with the event.
dbt_events_raw,session,high,"Serialized gameplay session context, including the session identifier and related attributes."
dbt_events_raw,user_properties,high,Serialized player attributes and profile properties available when the event was emitted.
dbt_events_raw,experiments,high,Serialized experiment assignments or exposure metadata associated with the player event.
dbt_events_raw,feature_flags,high,Serialized feature-flag states active for the player or client at event time.
dbt_events_raw,liveops_context,high,"Serialized live-operations context, such as active events, offers, campaigns, or content rotations."
dbt_events_raw,event_params,high,Serialized event-specific attributes and values describing the action in detail.
dim_ab_variant,variant_key,high,Warehouse surrogate key uniquely identifying the experiment variant dimension record.
dim_ab_variant,experiment_id,high,Identifier for the experiment containing the variant.
dim_ab_variant,variant_id,high,Business identifier for the experiment variant.
dim_ab_variant,variant_index,high,Numeric ordering of the variant within its experiment.
dim_ab_variant,is_control,high,Indicates whether the variant is the experiment's baseline control group.
dim_ab_variant,variant_label,high,Human-readable label describing the variant treatment or control.
dim_ab_variant,variant_role,medium,Role assigned to the variant within the experimental design.
dim_ab_variant,expected_share_pct,high,Configured percentage of eligible traffic expected to receive the variant.
dim_ab_variant,experiment_status,high,Lifecycle status of the associated experiment.
dim_ab_variant,experiment_outcome,medium,Recorded result or disposition of the associated experiment.
dim_ab_variant,is_shipped_variant,high,Indicates whether this variant was released or selected for production use.
dim_ab_variant,created_at,high,Timestamp when the variant dimension record was created.
dim_ab_variant,updated_date,high,Timestamp indicating when the variant record was last refreshed or modified.
dim_app_version,app_version_key,high,Warehouse surrogate key uniquely identifying an application version record.
dim_app_version,client_id,medium,Identifier for the client application or distribution channel associated with the version.
dim_app_version,game_id,high,Identifier for the game using the application version.
dim_app_version,app_version,high,Full application version string used to identify the client build.
dim_app_version,version_major,high,Major component of the semantic application version number.
dim_app_version,version_minor,high,Minor component of the semantic application version number.
dim_app_version,version_patch,high,Patch component of the semantic application version number.
dim_app_version,release_date,high,Calendar date on which the application version was released.
dim_app_version,release_id,high,Identifier for the deployment or release package associated with the application version.
dim_app_version,release_type,high,"Classification of the release, such as major, minor, hotfix, or beta."
dim_app_version,is_forced_update,high,Indicates whether users must install this version to continue using the game.
dim_app_version,end_of_life_date,high,Date after which the application version is no longer supported or expected to be active.
dim_app_version,first_seen_at,high,Earliest timestamp at which telemetry from this application version was observed.
dim_app_version,last_seen_at,high,Most recent timestamp at which telemetry from this application version was observed.
dim_app_version,created_at,high,Timestamp when the application version dimension record was created.
dim_app_version,updated_at,high,Timestamp when the application version record was last updated.
dim_country,country_key,high,Warehouse surrogate key uniquely identifying the country record.
dim_country,country_code_iso2,high,Two-letter ISO 3166-1 country code used for geographic analysis.
dim_country,country_code_iso3,high,Three-letter ISO 3166-1 country code used for geographic analysis.
dim_country,country_name,high,Standardized human-readable country name.
dim_country,region,high,Broad geographic region to which the country belongs.
dim_country,sub_region,high,More granular geographic grouping within the country region.
dim_country,default_timezone,high,Default time zone used for local-date and time interpretation in the country.
dim_country,default_currency,high,Currency commonly used in the country for localization and monetary reporting.
dim_country,default_language,high,Default or primary language used for country-level localization.
dim_country,country_tier,medium,"Business classification of the country based on market importance, monetization, or operating strategy."
dim_country,privacy_regime,high,Applicable privacy and data-governance classification for the country or jurisdiction.
dim_country,is_sim_relevant,low,"Indicates whether the country is included in simulation, forecasting, or benchmark analyses."
dim_currency,currency_code,high,Standard currency code identifying the monetary unit.
dim_currency,currency_name,high,Human-readable name of the currency.
dim_currency,currency_class,medium,"Classification of the currency, such as fiat, virtual, premium, or promotional currency."
dim_currency,is_premium,high,Indicates whether the currency is a premium in-game currency typically purchased or monetized.
dim_currency,usd_value_per_unit,high,Reference U.S. dollar value assigned to one unit of the currency for revenue and economy analysis.
dim_currency,org_id,high,Identifier for the organization or tenant that owns the currency definition.
dim_currency,game_id,high,Identifier for the game in which the currency is used.
dim_currency,game_client_id,medium,Identifier for the game client or deployment associated with the currency definition.
dim_date,full_date,high,Calendar date used as the primary date key for time-based reporting and period aggregation.
dim_date,year,high,Gregorian calendar year associated with the date.
dim_date,quarter,high,"Calendar quarter number, from 1 through 4, used for quarterly analysis."
dim_date,month,high,"Calendar month number, from 1 through 12, used for monthly aggregation."
dim_date,month_name,high,Display name of the calendar month associated with the date.
dim_date,day_of_month,high,"Ordinal day within the calendar month, from 1 through 31."
dim_date,day_of_week,high,Numeric weekday designation used for daily and weekday-versus-weekend analysis.
dim_date,day_name,high,Display name of the weekday associated with the date.
dim_date,iso_year,high,"ISO 8601 year associated with the date, which may differ from the Gregorian year around year boundaries."
dim_date,iso_week,high,ISO 8601 week number used for standardized weekly reporting.
dim_date,week_start_monday,high,Date of the Monday starting the ISO week containing the calendar date.
dim_date,month_start,high,First calendar date of the month containing the date.
dim_date,quarter_start,high,First calendar date of the quarter containing the date.
dim_date,is_weekend,high,Boolean indicator identifying whether the date falls on a weekend.
dim_device,device_key,high,Warehouse surrogate key uniquely identifying a normalized device record.
dim_device,manufacturer,high,Company that manufactured the player device.
dim_device,model,high,Technical device model identifier used for hardware-level performance and behavior analysis.
dim_device,marketing_name,high,Consumer-facing name of the device model.
dim_device,device_type,high,"Broad device classification, such as phone, tablet, or other supported form factor."
dim_device,device_tier,medium,Performance or commercial tier assigned to the device for segmentation and experience analysis.
dim_device,platform,high,"Operating system ecosystem, typically Android or iOS."
dim_device,ram_mb,high,"Installed device memory capacity in megabytes, useful for performance and crash analysis."
dim_device,cpu_cores,high,Number of processor cores available on the device.
dim_device,gpu_class,medium,Normalized graphics processor performance classification.
dim_device,screen_size_inches,high,Physical display diagonal measured in inches.
dim_device,screen_resolution,high,Display pixel dimensions or normalized resolution label.
dim_device,ppi,high,Display pixel density expressed as pixels per inch.
dim_device,release_year,high,Year in which the device model was commercially released.
dim_device,is_sim_relevant,medium,"Indicates whether the device classification is relevant for simulation, testing, or modeled gameplay analysis."
dim_experiment,experiment_key,high,Warehouse surrogate key uniquely identifying an experiment configuration.
dim_experiment,client_id,high,Client or tenant identifier owning the experiment.
dim_experiment,game_id,high,Identifier of the game in which the experiment is conducted.
dim_experiment,experiment_id,high,Source-system identifier used to reference the experiment.
dim_experiment,experiment_name,high,Human-readable name describing the experiment.
dim_experiment,hypothesis,high,Business or product assumption the experiment is designed to evaluate.
dim_experiment,owner,medium,Person or team accountable for experiment execution and interpretation.
dim_experiment,start_date,high,Calendar date on which experiment traffic or exposure begins.
dim_experiment,end_date,high,Calendar date on which experiment traffic or exposure ends.
dim_experiment,status,high,"Current lifecycle state of the experiment, such as planned, running, completed, or stopped."
dim_experiment,primary_metric,high,Metric designated as the principal success measure for evaluating the experiment.
dim_experiment,guardrail_metrics,high,List of metrics monitored to detect adverse effects while assessing the primary outcome.
dim_experiment,variant_count,high,Number of treatment and control variants configured for the experiment.
dim_experiment,variants,high,List of configured variant identifiers or names included in the experiment.
dim_experiment,traffic_allocation_pct,high,Percentage of eligible traffic allocated to the experiment.
dim_experiment,outcome,medium,"Recorded conclusion or result of the experiment, such as winner, no impact, or inconclusive."
dim_experiment,created_at,high,Timestamp when the experiment record was created.
dim_experiment,updated_at,high,Timestamp of the most recent update to the experiment record.
dim_metric,metric_id,high,Stable identifier for the governed analytical metric.
dim_metric,metric_name,high,Human-readable name of the metric used in reporting and analysis.
dim_metric,metric_category,high,"Business classification of the metric, such as engagement, retention, revenue, or monetization."
dim_metric,metric_type,medium,"Logical metric classification, such as count, rate, ratio, amount, or score."
dim_metric,definition,high,Business definition explaining what the metric measures and how it should be interpreted.
dim_metric,numerator_definition,high,Definition of the numerator used when calculating a ratio or rate metric.
dim_metric,denominator_definition,high,Definition of the denominator used when calculating a ratio or rate metric.
dim_metric,source_events,high,Event names that provide the underlying behavioral or transactional inputs for the metric.
dim_metric,source_tables,high,Warehouse tables from which the metric is derived.
dim_metric,time_grain,high,"Time granularity at which the metric is evaluated, such as daily, weekly, or monthly."
dim_metric,aggregation_window,high,"Observation period used to calculate the metric, such as seven-day, lifetime, or session-level."
dim_metric,eligibility_criteria,high,"Rules determining which players, events, or records are included in the metric population."
dim_metric,filters_applied,high,Documented filters applied before metric aggregation.
dim_metric,segmentation_compatible,high,Indicates whether the metric can be reliably analyzed across player or behavioral segments.
dim_metric,ab_test_compatible,high,Indicates whether the metric is suitable for experiment comparison and lift analysis.
dim_metric,ai_consumable,high,Indicates whether the metric is approved for use by GeoPlay AI models and agents.
dim_metric,metric_owner,high,Person or team responsible for metric governance and maintenance.
dim_metric,metric_status,high,"Operational status of the metric definition, such as active, draft, or retired."
dim_metric,version,high,Version identifier for the metric definition and calculation logic.
dim_metric,first_available_date,high,First date on which the metric became available for reporting.
dim_metric,refresh_cadence,high,Scheduled frequency at which the metric is recalculated or refreshed.
dim_metric,data_latency_sla,high,Service-level expectation for the delay between source event availability and metric availability.
dim_metric,guardrails,medium,Constraints or monitoring thresholds used to protect metric interpretation and downstream decisions.
dim_metric,known_caveats,high,"Documented limitations, exclusions, biases, or interpretation risks associated with the metric."
dim_metric,deprecation_status,high,Indicator of whether the metric is scheduled for retirement or no longer recommended.
dim_metric,replacement_metric,medium,Identifier of the metric recommended as a successor when this metric is deprecated.
dim_metric,metric_domain,high,"Primary analytical domain covered by the metric, such as players, sessions, ads, experiments, or revenue."
dim_metric,aggregation_type,high,"Mathematical aggregation method used to produce the metric, such as sum, average, count, or distinct count."
dim_metric,tier,medium,Governance or business importance tier assigned to the metric.
dim_metric,unit,high,"Measurement unit in which the metric is expressed, such as users, seconds, dollars, or percentage points."
dim_metric,is_higher_better,high,Indicates whether higher metric values represent better business or player outcomes.
dim_metric,sort_order,high,Configured numeric order for presenting metrics in dashboards or analytical outputs.
dim_metric,concept_key,medium,Identifier linking the metric to a broader governed business concept.
dim_metric,metric_scope,high,"Population or entity scope to which the metric applies, such as player, session, game, or organization."
dim_metric,source_tables_applied,medium,Source tables actually used by the deployed metric calculation.
dim_metric,observability_status,medium,Current data-quality or monitoring state of the metric pipeline.
dim_metric,is_canonical_concept,high,Indicates whether the record represents the authoritative metric concept for the organization.
dim_metric,org_id,high,Organization or tenant that owns the metric definition.
dim_metric,game_id,high,Game to which the metric definition applies.
dim_metric,game_client_id,medium,Client or application identifier for the game implementation producing the metric inputs.
dim_metric,created_at,high,Timestamp when the metric definition was created.
dim_metric,updated_at,high,Timestamp of the most recent metric definition update.
dim_offer,sku_id,high,Unique store or game-economy identifier for the purchasable offer.
dim_offer,org_id,high,Organization or tenant that owns the offer.
dim_offer,game_id,high,Game in which the offer is available.
dim_offer,sku_family,medium,Grouping of related offers or product variants for portfolio-level monetization analysis.
dim_offer,category,high,"Business category assigned to the offer, such as currency, bundle, subscription, or cosmetic."
dim_offer,sku_type,medium,Specific commercial or product type of the offer.
dim_offer,release_id,medium,Release or content-cycle identifier associated with the offer.
dim_offer,price_usd,high,Listed offer price normalized to U.S. dollars for revenue and price-point analysis.
dim_release_cycle,release_cycle_key,high,Warehouse surrogate key uniquely identifying a game release cycle.
dim_release_cycle,client_id,high,Client or tenant responsible for the release cycle.
dim_release_cycle,game_id,high,Game associated with the release cycle.
dim_release_cycle,release_id,high,Source identifier for the application or content release.
dim_release_cycle,release_label,high,Human-readable label used to identify the release cycle.
dim_release_cycle,primary_app_version,high,Main application version associated with the release.
dim_release_cycle,release_date,high,Calendar date when the release became available to players.
dim_release_cycle,day_number,medium,Sequential day number within the release-cycle reporting timeline.
dim_release_cycle,release_type,high,"Classification of the release, such as major, minor, hotfix, or content update."
dim_release_cycle,release_theme,medium,Thematic or promotional concept associated with the release.
dim_release_cycle,release_notes,high,"Textual summary of changes, features, fixes, or content included in the release."
dim_release_cycle,android_adoption_d0_pct,high,Percentage of Android active or eligible players adopting the release on release day.
dim_release_cycle,android_adoption_d1_pct,high,Percentage of Android active or eligible players adopting the release one day after launch.
dim_release_cycle,android_adoption_d2_pct,high,Percentage of Android active or eligible players adopting the release two days after launch.
dim_release_cycle,android_adoption_d7_pct,high,Percentage of Android active or eligible players adopting the release seven days after launch.
dim_release_cycle,ios_adoption_d0_pct,high,Percentage of iOS active or eligible players adopting the release on release day.
dim_release_cycle,ios_adoption_d1_pct,high,Percentage of iOS active or eligible players adopting the release one day after launch.
dim_release_cycle,ios_adoption_d2_pct,high,Percentage of iOS active or eligible players adopting the release two days after launch.
dim_release_cycle,ios_adoption_d7_pct,high,Percentage of iOS active or eligible players adopting the release seven days after launch.
dim_release_cycle,ios_release_delay_days,high,Number of days between the primary release availability and its iOS availability.
dim_release_cycle,is_rollback,high,Indicates whether the release represents a rollback to a prior application state.
dim_release_cycle,created_at,high,Timestamp when the release-cycle record was created.
dim_release_cycle,updated_at,high,Timestamp of the most recent release-cycle record update.
dim_segment,segment_id,high,Stable identifier for the player segment definition.
dim_segment,segment_key,medium,Business or warehouse key used to reference the segment across analytical datasets.
dim_segment,segment_name,high,Human-readable name describing the player cohort or classification.
dim_segment,tier,medium,Hierarchical or business priority tier assigned to the segment.
dim_segment,is_exclusive,high,Indicates whether a player can belong to only one segment within the applicable segment framework.
dim_segment,is_overlay,high,Indicates whether the segment is an additional behavioral overlay rather than a mutually exclusive base classification.
dim_segment,tier_display_order,high,Configured presentation order for segment tiers.
dim_segment,segment_display_order,high,Configured presentation order for segments within their tier or hierarchy.
dim_segment,is_core,high,Indicates whether the segment is part of the standard core segmentation framework.
dim_segment,org_id,high,Organization or tenant that owns the segment definition.
dim_segment,game_id,high,Game to which the segment definition applies.
dim_segment,game_client_id,medium,Client or application identifier associated with the segment definition.
dim_segment,created_at,high,Timestamp when the segment record was created.
dim_segment,updated_at,high,Timestamp of the most recent segment record update.
dim_user,user_id,high,"Source-system identifier for the player used to associate gameplay, monetization, and behavioral records."
dim_user,org_id,high,Organization or tenant associated with the player record.
dim_user,game_id,high,Game in which the player is registered or observed.
dim_user,first_seen,high,Date on which the player was first observed in game activity or telemetry.
dim_user,last_seen,high,Most recent date on which the player was observed in game activity or telemetry.
dim_user,install_date,high,Date on which the player installed the game.
dim_user,cohort_date,high,Reference date used to assign the player to a retention or acquisition cohort.
dim_user,latest_days_since_install,high,Number of elapsed days between installation and the latest player snapshot or activity.
